Id;Label;Title
"Alston, J.M., C. Chan-Kang, M.C. Marra, P.G. Pardey, and T.J. Wyatt;Alston, J.M., C. Chan-Kang, M.C. Marra, P.G. Pardey, and T.J. Wyatt;A meta analysis of rates of return to agricultural R&D."
"Alston, J.M., G.W. Norton, and P.G. Pardey;Alston, J.M., G.W. Norton, and P.G. Pardey;Science under scarcity: Principles and practice of agricultural research evaluation and priority setting."
"Alston, J.M., M.C. Marra, P.G. Pardey, and T.J. Wyatt;Alston, J.M., M.C. Marra, P.G. Pardey, and T.J. Wyatt;Research returns redux: A meta-analysis of the returns to agricultural R&D."
ARF;ARF;The Asia Rice Foundation.
"Barker, R;Barker, R;The Philippine rice program - Lessons for agricultural development."
BAS;BAS;Bureau of Agricultural Statistics.
"Blackorby, C., and R. Russell;Blackorby, C., and R. Russell;Will the real elasticity of substitution please stand up? (A comparison of the Allen/Uzawa and Morishima elasticitites)."
"Cassman, K.G., and P.L. Pingali;Cassman, K.G., and P.L. Pingali;Extrapolating trends from long-term experiments to farmers fields: the case of irrigated rice systems in Asia."
"Cheyglinted, S., S.L. Ranamukhaarchchi, and G. Singh;Cheyglinted, S., S.L. Ranamukhaarchchi, and G. Singh;Assessment of the CERES-Rice model for rice production in the Central Plain of Thailand."
"Christensen, L., and W. Greene;Christensen, L., and W. Greene;Economies of scale in US electric power generation."
"Christensen, L., D. Jorgenson, and L. Lau;Christensen, L., D. Jorgenson, and L. Lau;Transcendental logarithmic production frontiers."
"Contado, T;Contado, T;Decentralization and agriculture service delivery - benchmarks, transfers and capacity building in intergovernmental relations in Indonesia, Vietnam, the Philippines."
"Cororaton, C.B., and E.L. Corong;Cororaton, C.B., and E.L. Corong;Philippine agriculture and food policies: Implications for poverty and income distribution."
"Corton, T.M., et al;Corton, T.M., et al;Methane emission from irrigated and intensely managed rice fields in Central Luzon Philippines."
"Dalrymple, D.G;Dalrymple, D.G;Development and spread of high yielding varieities of wheat and rice in the less developed nations."
"Dalrymple, D.G;Dalrymple, D.G;Evaluating the impact of international research on wheat and rice production in the developing nations."
"David, C;David, C;Averting the water crisis in Philippine agriculture: Policy and program framework for irrigation development in the Philippines."
"David, C;David, C;Fertilizer demand in the Asian rice economy."
"David, C;David, C;The Philippine hybrid rice program: A case of redesign and scaling down."
"David, C., and A. Balisacan;David, C., and A. Balisacan;Philippine rice supply and demand: Prospects and policy implications."
"David, C., and K. Otsuka;David, C., and K. Otsuka;Modern rice and technology and income distribution in Asia."
"David, C., and R. Barker;David, C., and R. Barker;Modern rice varieties and fertilizer consumption."
"Dawe, D;Dawe, D;A second Green Revolution in the Philippines: Insecticide use on rice has declined to low levels."
"Dawe, D;Dawe, D;Equity effects of rice trade liberalization in the Philippines."
"Dawe, D;Dawe, D;The Philippines imports rice because it is an island nation."
